銘柄コード（stock_code）,企業名,業種コード（33分類）,業種名（33分類）,評価年度（西暦）,会計年度末,必須条件判定,総合スコア,配当スコア,EPS スコア,安定性スコア,収益性スコア,スクリーニング判定,yfinanceURL
1333,マルハニチロ,50,水産・農林業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/1333.T
9065,山九,5050,陸運業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/9065.T
4556,カイノス,3250,医薬品,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/4556.T
1928,積水ハウス,2050,建設業,2026,2025-01-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/1928.T
1944,きんでん,2050,建設業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/1944.T
1969,高砂熱学工業,2050,建設業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/1969.T
2742,ハローズ,6100,小売業,2026,2025-02-28,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/2742.T
3020,アプライド,6100,小売業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3020.T
3181,買取王国,6100,小売業,2026,2025-02-28,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3181.T
3317,フライングガーデン,6100,小売業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3317.T
3375,ＺＯＡ,6100,小売業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3375.T
3560,ほぼ日,6100,小売業,2026,2025-08-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3560.T
8198,マックスバリュ東海,6100,小売業,2026,2025-02-28,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/8198.T
9890,マキヤ,6100,小売業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/9890.T
2303,ドーン,5250,情報・通信業,2026,2025-05-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/2303.T
2307,クロスキャット,5250,情報・通信業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/2307.T
2332,クエスト,5250,情報・通信業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/2332.T
2335,キューブシステム,5250,情報・通信業,2026,2025-03-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/2335.T
3671,ソフトマックス,5250,情報・通信業,2026,2024-12-31,True,80,10,30,20,20,active,https://finance.yahoo.co.jp/quote/3671.T
