code,effective_date,ratio_from,ratio_to
3798,2025-09-29,1,10
3798,2013-09-26,1,100
3798,2007-03-27,1,4
4318,2025-11-27,1,3
4318,2005-06-27,1,2
4318,2004-09-27,1,2
4635,2025-12-29,1,5
4635,2017-09-27,10,1
9304,2025-09-29,1,4
9304,2017-09-27,5,1
3671,2025-06-27,1,4
3671,2019-06-26,1,3
5463,2025-09-29,1,3
3143,2025-09-29,1,3
1333,2025-12-29,1,3
7595,2025-09-29,1,4
7595,2019-03-27,1,2
7595,2004-03-26,1,2
1866,2025-09-29,1,4
1866,2018-09-26,10,1
3916,2025-12-29,1,2
3916,2018-03-28,1,2
3916,2016-09-28,1,2
4828,2026-01-01,1,5
4828,2022-05-30,1,2
4828,2013-06-26,1,3
4828,2002-03-26,1,2
2216,2025-06-27,1,3
2216,2022-06-29,1,2
2216,2019-06-26,1,2
2216,2017-06-28,5,1
8111,2025-09-29,1,3
8111,2019-09-27,1,2
8111,2018-03-28,1,2
8111,2015-09-28,5,1
8111,1993-03-26,10999999,10000000
9757,2025-12-29,1,2
9757,2017-12-27,2,3
9757,2015-12-28,5,6
9757,2005-12-27,2,3
9757,2004-12-27,1,2
9757,1992-12-25,10,11
9757,1991-12-25,10,11
9757,1990-12-25,10,11
9757,1989-12-26,10,11
1968,2025-09-29,1,3
1968,2017-09-27,2,1
1968,1996-03-26,10,11
1968,1995-03-28,10,11
9101,2022-09-29,1,3
9101,2017-09-27,10,1
4976,2025-12-29,1,3
4812,2025-12-29,1,3
4812,2020-12-29,1,2
4812,2002-09-25,1,2
4812,2001-06-26,10,11
9145,2025-09-29,1,4
3245,2015-09-28,1,4
3245,2014-12-26,1,2
3245,2013-03-27,1,100
3245,2007-09-25,100000,300003
8227,2026-02-19,1,3
8227,2024-02-19,1,2
8227,1995-02-15,10,11
7609,2025-12-29,1,2
7609,2000-12-26,10,11
7609,1999-12-27,10,11
4107,2025-12-29,1,10
4107,2018-06-27,5,1
2114,2025-12-29,1,2
9934,2025-11-27,1,2
9934,2019-11-28,1,2
9934,1996-03-26,10,11
9934,1995-03-28,10,11
9856,2014-05-28,1,2
9856,2006-03-28,1,2
9856,1995-03-28,20,21
9856,1994-03-28,5,6
9856,1993-03-26,10999999,10000000
4685,2025-09-29,1,2
4685,2020-12-29,1,5
4685,2017-09-27,5,1
6393,2017-09-27,10,1
9761,2017-09-27,10,1
7818,2025-08-28,1,2
7818,2017-02-24,1,2
7818,2015-07-29,1,2
7818,2013-04-25,1,2
7818,2011-08-29,1,2
2428,2016-06-28,1,2
2428,2012-06-27,1,100
2428,2006-06-27,1,2
7932,2017-09-27,5,1
2169,2012-12-26,1,200
3925,2021-09-29,1,2
3925,2018-03-28,1,2
4396,2025-12-29,1,2
4396,2020-05-28,1,2
4396,2019-03-27,1,2
6196,2026-03-30,100000,300003
6196,2018-05-29,1,2
6196,2016-11-28,1,3
